date,Host,Service,message
2021-12-02T20:30:54.091Z,gke-platform-prod-clus-np-preemptible-c4954949-rkfw.c.platform-prod-399563.internal,platform_logs:metabase,org.quartz.JobPersistenceException: Failure identifying failed instances when checking-in: FATAL: terminating connection due to administrator command [See nested exception: org.postgresql.util.PSQLException: FATAL: terminating connection due to administrator command]
2021-12-02T20:30:54.091Z,gke-platform-prod-clus-np-preemptible-c4954949-rkfw.c.platform-prod-399563.internal,platform_logs:metabase,"2021-12-02 20:30:53,484 ERROR jdbcjobstore.JobStoreTX :: ClusterManager: Error managing cluster: Failure identifying failed instances when checking-in: FATAL: terminating connection due to administrator command"
2021-12-02T20:21:57.190Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[b906a8bb-c426-46d2-8c64-e41da9a1c4e2] retry: Retry in 1s: HTTPError('500 Server Error: Internal Server Error for url: https://internal-ingress.platform.gcp.oreilly.com/api/v1/onboarding/send_welcome_email/?user_id=9f7cfe49-2923-4202-ad94-cb6e93fc7893: {""detail"": ""terminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\nterminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\n in {\'view\': <onboarding_service.views.SendWelcomeEmailView object at 0x7fa6bf22c790>, \'args\': (), \'kwargs\': {}, \'request\': <rest_framework.request.Request: GET \'/api/v1/onboarding/send_welcome_email/?user_id=9f7cfe49-2923-4202-ad94-cb6e93fc7893\'>}""}')"
2021-12-02T20:21:51.374Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[b3913a23-039d-40c8-bee9-dfbb98131bb3] retry: Retry in 5s: HTTPError('500 Server Error: Internal Server Error for url: https://internal-ingress.platform.gcp.oreilly.com/api/v1/onboarding/send_welcome_email/?user_id=09f973d4-ee36-4753-943d-36aac37497b5: {""detail"": ""terminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\nterminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\n in {\'view\': <onboarding_service.views.SendWelcomeEmailView object at 0x7f95aba1a680>, \'args\': (), \'kwargs\': {}, \'request\': <rest_framework.request.Request: GET \'/api/v1/onboarding/send_welcome_email/?user_id=09f973d4-ee36-4753-943d-36aac37497b5\'>}""}')"
2021-12-02T20:21:45.779Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[b3913a23-039d-40c8-bee9-dfbb98131bb3] retry: Retry in 5s: HTTPError('500 Server Error: Internal Server Error for url: https://internal-ingress.platform.gcp.oreilly.com/api/v1/onboarding/send_welcome_email/?user_id=09f973d4-ee36-4753-943d-36aac37497b5: {""detail"": ""terminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\nterminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\n in {\'view\': <onboarding_service.views.SendWelcomeEmailView object at 0x7fa6bf072b60>, \'args\': (), \'kwargs\': {}, \'request\': <rest_framework.request.Request: GET \'/api/v1/onboarding/send_welcome_email/?user_id=09f973d4-ee36-4753-943d-36aac37497b5\'>}""}')"
2021-12-02T20:21:39.291Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[b3913a23-039d-40c8-bee9-dfbb98131bb3] retry: Retry in 1s: HTTPError('500 Server Error: Internal Server Error for url: https://internal-ingress.platform.gcp.oreilly.com/api/v1/onboarding/send_welcome_email/?user_id=09f973d4-ee36-4753-943d-36aac37497b5: {""detail"": ""terminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\nterminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\n in {\'view\': <onboarding_service.views.SendWelcomeEmailView object at 0x7f95a9daf610>, \'args\': (), \'kwargs\': {}, \'request\': <rest_framework.request.Request: GET \'/api/v1/onboarding/send_welcome_email/?user_id=09f973d4-ee36-4753-943d-36aac37497b5\'>}""}')"
2021-12-02T20:21:26.401Z,gke-platform-prod-cluster-np-01-d54e11d6-4wf3.c.platform-prod-399563.internal,onboarding_service:celery,"Task onboarding_service.tasks.store_salesforce_user_error[052dbcec-70c8-4e87-be90-3d51bd58a170] raised unexpected: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T20:21:20.913Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[916d7bed-5223-4422-bf83-50f83358a984] retry: Retry in 2s: HTTPError('500 Server Error: Internal Server Error for url: https://internal-ingress.platform.gcp.oreilly.com/api/v1/onboarding/send_welcome_email/?user_id=7dd4f4ee-2186-4491-a704-bdbe600a1bbd: {""detail"": ""terminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\nterminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\n in {\'view\': <onboarding_service.views.SendWelcomeEmailView object at 0x7ff7302d7b20>, \'args\': (), \'kwargs\': {}, \'request\': <rest_framework.request.Request: GET \'/api/v1/onboarding/send_welcome_email/?user_id=7dd4f4ee-2186-4491-a704-bdbe600a1bbd\'>}""}')"
2021-12-02T20:21:20.794Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[916d7bed-5223-4422-bf83-50f83358a984] retry: Retry in 0s: HTTPError('500 Server Error: Internal Server Error for url: https://internal-ingress.platform.gcp.oreilly.com/api/v1/onboarding/send_welcome_email/?user_id=7dd4f4ee-2186-4491-a704-bdbe600a1bbd: {""detail"": ""terminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\nterminating connection due to administrator command\\nSSL connection has been closed unexpectedly\\n in {\'view\': <onboarding_service.views.SendWelcomeEmailView object at 0x7f7f5619a680>, \'args\': (), \'kwargs\': {}, \'request\': <rest_framework.request.Request: GET \'/api/v1/onboarding/send_welcome_email/?user_id=7dd4f4ee-2186-4491-a704-bdbe600a1bbd\'>}""}')"
2021-12-02T20:21:16.255Z,gke-platform-prod-cluster-np-01-d54e11d6-4wf3.c.platform-prod-399563.internal,onboarding_service:celery,"Task onboarding_service.tasks.store_salesforce_user_error[84a9db55-796e-47ec-92eb-c513f6a2bf56] raised unexpected: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T20:21:15.619Z,gke-platform-prod-cluster-np-01-d54e11d6-4wf3.c.platform-prod-399563.internal,onboarding_service:celery,"Task onboarding_service.tasks.store_salesforce_user_error[50e9e83a-bcef-4f3c-8992-3d2319e01ff5] raised unexpected: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T20:16:14.021Z,gke-platform-prod-cluster-np-01-d54e11d6-9jsp.c.platform-prod-399563.internal,network_auth:http,"{""asctime"": ""2021-12-02T20:16:13.995"", ""module"": ""log"", ""levelname"": ""ERROR"", ""message"": ""Internal Server Error: /api/v1/account-summary-by-network/"", ""exc_info"": ""Traceback (most recent call last):
  File \""/usr/local/lib/python3.10/site-packages/django/db/backends/utils.py\"", line 84, in _execute
    return self.cursor.execute(sql, params)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/dbapi/__init__.py\"", line 112, in execute
    return self._trace_method(self.__wrapped__.execute, self._self_datadog_name, query, {}, query, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/psycopg/patch.py\"", line 58, in _trace_method
    return super(Psycopg2TracedCursor, self)._trace_method(method, name, resource, extra_tags, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/dbapi/__init__.py\"", line 75, in _trace_method
    return method(*args, **kwargs)
psycopg2.errors.AdminShutdown: terminating connection due to administrator command
server closed the connection unexpectedly
\tThis probably means the server terminated abnormally
\tbefore or while processing the request.


The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File \""/usr/local/lib/python3.10/site-packages/django/core/handlers/exception.py\"", line 47, in inner
    response = get_response(request)
  File \""/usr/local/lib/python3.10/site-packages/django/core/handlers/base.py\"", line 181, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File \""/usr/local/lib/python3.10/site-packages/sentry_sdk/integrations/django/views.py\"", line 67, in sentry_wrapped_callback
    return callback(request, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/trace_utils.py\"", line 162, in wrapper
    return func(mod, pin, wrapped, instance, args, kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/django/patch.py\"", line 213, in wrapped
    return func(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/django/views/decorators/cache.py\"", line 44, in _wrapped_view_func
    response = view_func(request, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/django/views/decorators/csrf.py\"", line 54, in wrapped_view
    return view_func(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/trace_utils.py\"", line 162, in wrapper
    return func(mod, pin, wrapped, instance, args, kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/django/patch.py\"", line 213, in wrapped
    return func(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/django/views/generic/base.py\"", line 70, in view
    return self.dispatch(request, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/trace_utils.py\"", line 162, in wrapper
    return func(mod, pin, wrapped, instance, args, kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/django/patch.py\"", line 213, in wrapped
    return func(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/rest_framework/views.py\"", line 509, in dispatch
    response = self.handle_exception(exc)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/trace_utils.py\"", line 162, in wrapper
    return func(mod, pin, wrapped, instance, args, kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/django/restframework.py\"", line 19, in _traced_handle_exception
    return wrapped(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/rest_framework/views.py\"", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File \""/usr/local/lib/python3.10/site-packages/rest_framework/views.py\"", line 480, in raise_uncaught_exception
    raise exc
  File \""/usr/local/lib/python3.10/site-packages/rest_framework/views.py\"", line 506, in dispatch
    response = handler(request, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/trace_utils.py\"", line 162, in wrapper
    return func(mod, pin, wrapped, instance, args, kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/django/patch.py\"", line 213, in wrapped
    return func(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/rest_framework/decorators.py\"", line 50, in handler
    return func(*args, **kwargs)
  File \""/orm/service/./api/views.py\"", line 76, in account_summary_by_network
    return _account_summary_by_network(client_ip)
  File \""/orm/service/./api/views.py\"", line 51, in _account_summary_by_network
    network = AuthorizedNetwork.objects.active().by_ip(address).first()
  File \""/usr/local/lib/python3.10/site-packages/django/db/models/query.py\"", line 674, in first
    for obj in (self if self.ordered else self.order_by('pk'))[:1]:
  File \""/usr/local/lib/python3.10/site-packages/django/db/models/query.py\"", line 280, in __iter__
    self._fetch_all()
  File \""/usr/local/lib/python3.10/site-packages/django/db/models/query.py\"", line 1324, in _fetch_all
    self._result_cache = list(self._iterable_class(self))
  File \""/usr/local/lib/python3.10/site-packages/django/db/models/query.py\"", line 51, in __iter__
    results = compiler.execute_sql(chunked_fetch=self.chunked_fetch, chunk_size=self.chunk_size)
  File \""/usr/local/lib/python3.10/site-packages/django/db/models/sql/compiler.py\"", line 1175, in execute_sql
    cursor.execute(sql, params)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/dbapi/__init__.py\"", line 112, in execute
    return self._trace_method(self.__wrapped__.execute, self._self_datadog_name, query, {}, query, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/psycopg/patch.py\"", line 58, in _trace_method
    return super(Psycopg2TracedCursor, self)._trace_method(method, name, resource, extra_tags, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/dbapi/__init__.py\"", line 75, in _trace_method
    return method(*args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/sentry_sdk/integrations/django/__init__.py\"", line 500, in execute
    return real_execute(self, sql, params)
  File \""/usr/local/lib/python3.10/site-packages/django/db/backends/utils.py\"", line 66, in execute
    return self._execute_with_wrappers(sql, params, many=False, executor=self._execute)
  File \""/usr/local/lib/python3.10/site-packages/django/db/backends/utils.py\"", line 75, in _execute_with_wrappers
    return executor(sql, params, many, context)
  File \""/usr/local/lib/python3.10/site-packages/django/db/backends/utils.py\"", line 79, in _execute
    with self.db.wrap_database_errors:
  File \""/usr/local/lib/python3.10/site-packages/django/db/utils.py\"", line 90, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File \""/usr/local/lib/python3.10/site-packages/django/db/backends/utils.py\"", line 84, in _execute
    return self.cursor.execute(sql, params)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/dbapi/__init__.py\"", line 112, in execute
    return self._trace_method(self.__wrapped__.execute, self._self_datadog_name, query, {}, query, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/psycopg/patch.py\"", line 58, in _trace_method
    return super(Psycopg2TracedCursor, self)._trace_method(method, name, resource, extra_tags, *args, **kwargs)
  File \""/usr/local/lib/python3.10/site-packages/ddtrace/contrib/dbapi/__init__.py\"", line 75, in _trace_method
    return method(*args, **kwargs)
django.db.utils.OperationalError: terminating connection due to administrator command
server closed the connection unexpectedly
\tThis probably means the server terminated abnormally
\tbefore or while processing the request.
"", ""status_code"": 500, ""request"": ""<WSGIRequest: GET '/api/v1/account-summary-by-network/'>"", ""dd.version"": ""main-202111302115-76-57414459"", ""dd.env"": ""prod-gke"", ""dd.service"": ""network_auth:http"", ""dd.trac{""asctime"":""2021-12-02T20:16:13+0000"", ""message"":""[pid: 8|app: 0|req: 206133/284708] 5.29.50.131 () {102 vars in 3487 bytes} [Thu Dec  2 20:16:13 2021] GET /api/v1/account-summary-by-network/ => generated 145 bytes in 64 msecs (HTTP/1.1 500) 9 headers in 305 bytes (1 switches on core 0)""}"
2021-12-02T20:09:50.807Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[c3e957fe-4ece-4e5d-bdc6-141862875f09] retry: Retry in 1s: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T20:09:50.559Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[c3e957fe-4ece-4e5d-bdc6-141862875f09] retry: Retry in 0s: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T20:09:40.962Z,gke-platform-prod-cluster-np-01-3fe7d044-u8iq.c.platform-prod-399563.internal,marketing_email_data_service:celery,"Task marketing_email_data_service.tasks.new_platform_user[a0bc1335-fc9a-473a-9a5f-9c335f04d067] retry: Retry in 1s: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T20:04:43.104Z,gke-platform-prod-cluster-np-01-3fe7d044-fgfq.c.platform-prod-399563.internal,invitation_service:consumers,"Unrecoverable error: OperationalError('terminating connection due to administrator command
SSL connection has been closed unexpectedly
')"
2021-12-02T19:51:42.188Z,heron-py3-app-lnxs.c.platform-prod-399563.internal,heron,"['OperationalError: terminating connection due to administrator command
ERROR:  server conn crashed?
server closed the connection unexpectedly
\tThis probably means the server terminated abnormally
\tbefore or while processing the request.
', '  File ""django/core/handlers/exception.py"", line 41, in inner', '  File ""django/core/handlers/base.py"", line 187, in _get_response', '  File ""django/core/handlers/base.py"", line 185, in _get_response', '  File ""python3.8/contextlib.py"", line 75, in inner', '  File ""python3.8/contextlib.py"", line 75, in inner', '  File ""django/views/decorators/http.py"", line 90, in inner', '  File ""django/views/decorators/http.py"", line 83, in get_last_modified', '  File ""heron/feeds.py"", line 206, in newest_epub_time', '  File ""django/db/models/query.py"", line 567, in first', '  File ""django/db/models/query.py"", line 232, in __len__', '  File ""nest/django_api_fields/querysets.py"", line 490, in _fetch_all', '  File ""django/db/models/query.py"", line 1121, in _fetch_all', '  File ""django/db/models/query.py"", line 53, in __iter__', '  File ""django/db/models/sql/compiler.py"", line 899, in execute_sql', '  File ""django/db/models/sql/compiler.py"", line 889, in execute_sql', '  File ""raven/contrib/django/client.py"", line 127, in execute', '  File ""django/db/backends/utils.py"", line 64, in execute', '  File ""django/db/utils.py"", line 94, in __exit__', '  File ""django/utils/six.py"", line 685, in reraise', '  File ""django/db/backends/utils.py"", line 64, in execute']"
